year,Category,gunvalues
1991,Ammunition regulations,0
1992,Ammunition regulations,0
1993,Ammunition regulations,0
1994,Ammunition regulations,0
1995,Ammunition regulations,0
1996,Ammunition regulations,0
1997,Ammunition regulations,0
1998,Ammunition regulations,0
1999,Ammunition regulations,0
2000,Ammunition regulations,0
2001,Ammunition regulations,0
2002,Ammunition regulations,0
2003,Ammunition regulations,0
2004,Ammunition regulations,1
2005,Ammunition regulations,1
2006,Ammunition regulations,1
2007,Ammunition regulations,1
2008,Ammunition regulations,1
2009,Ammunition regulations,1
2010,Ammunition regulations,1
2011,Ammunition regulations,1
2012,Ammunition regulations,1
2013,Ammunition regulations,1
2014,Ammunition regulations,1
2015,Ammunition regulations,1
2016,Ammunition regulations,1
2017,Ammunition regulations,1
2018,Ammunition regulations,1
1991,Assault weapons and large-capacity magazines,0
1992,Assault weapons and large-capacity magazines,0
1993,Assault weapons and large-capacity magazines,0
1994,Assault weapons and large-capacity magazines,0
1995,Assault weapons and large-capacity magazines,0
1996,Assault weapons and large-capacity magazines,0
1997,Assault weapons and large-capacity magazines,0
1998,Assault weapons and large-capacity magazines,0
1999,Assault weapons and large-capacity magazines,0
2000,Assault weapons and large-capacity magazines,0
2001,Assault weapons and large-capacity magazines,0
2002,Assault weapons and large-capacity magazines,0
2003,Assault weapons and large-capacity magazines,0
2004,Assault weapons and large-capacity magazines,0
2005,Assault weapons and large-capacity magazines,0
2006,Assault weapons and large-capacity magazines,0
2007,Assault weapons and large-capacity magazines,0
2008,Assault weapons and large-capacity magazines,0
2009,Assault weapons and large-capacity magazines,0
2010,Assault weapons and large-capacity magazines,0
2011,Assault weapons and large-capacity magazines,0
2012,Assault weapons and large-capacity magazines,0
2013,Assault weapons and large-capacity magazines,0
2014,Assault weapons and large-capacity magazines,0
2015,Assault weapons and large-capacity magazines,0
2016,Assault weapons and large-capacity magazines,0
2017,Assault weapons and large-capacity magazines,0
2018,Assault weapons and large-capacity magazines,0
1991,Background checks,0
1992,Background checks,0
1993,Background checks,0
1994,Background checks,0
1995,Background checks,0
1996,Background checks,0
1997,Background checks,0
1998,Background checks,0
1999,Background checks,0
2000,Background checks,0
2001,Background checks,0
2002,Background checks,0
2003,Background checks,0
2004,Background checks,0
2005,Background checks,0
2006,Background checks,0
2007,Background checks,0
2008,Background checks,0
2009,Background checks,0
2010,Background checks,0
2011,Background checks,0
2012,Background checks,0
2013,Background checks,0
2014,Background checks,0
2015,Background checks,0
2016,Background checks,0
2017,Background checks,0
2018,Background checks,0
1991,Buyer regulations,0
1992,Buyer regulations,0
1993,Buyer regulations,0
1994,Buyer regulations,1
1995,Buyer regulations,1
1996,Buyer regulations,1
1997,Buyer regulations,1
1998,Buyer regulations,1
1999,Buyer regulations,1
2000,Buyer regulations,1
2001,Buyer regulations,1
2002,Buyer regulations,1
2003,Buyer regulations,1
2004,Buyer regulations,1
2005,Buyer regulations,1
2006,Buyer regulations,1
2007,Buyer regulations,1
2008,Buyer regulations,1
2009,Buyer regulations,1
2010,Buyer regulations,1
2011,Buyer regulations,1
2012,Buyer regulations,1
2013,Buyer regulations,1
2014,Buyer regulations,1
2015,Buyer regulations,1
2016,Buyer regulations,1
2017,Buyer regulations,1
2018,Buyer regulations,1
1991,Child access prevention,3
1992,Child access prevention,3
1993,Child access prevention,3
1994,Child access prevention,3
1995,Child access prevention,3
1996,Child access prevention,3
1997,Child access prevention,3
1998,Child access prevention,3
1999,Child access prevention,3
2000,Child access prevention,3
2001,Child access prevention,3
2002,Child access prevention,3
2003,Child access prevention,3
2004,Child access prevention,3
2005,Child access prevention,3
2006,Child access prevention,3
2007,Child access prevention,3
2008,Child access prevention,3
2009,Child access prevention,3
2010,Child access prevention,3
2011,Child access prevention,3
2012,Child access prevention,3
2013,Child access prevention,3
2014,Child access prevention,3
2015,Child access prevention,3
2016,Child access prevention,3
2017,Child access prevention,3
2018,Child access prevention,3
1991,Concealed carry permitting,4
1992,Concealed carry permitting,3
1993,Concealed carry permitting,3
1994,Concealed carry permitting,3
1995,Concealed carry permitting,3
1996,Concealed carry permitting,3
1997,Concealed carry permitting,3
1998,Concealed carry permitting,3
1999,Concealed carry permitting,3
2000,Concealed carry permitting,3
2001,Concealed carry permitting,3
2002,Concealed carry permitting,3
2003,Concealed carry permitting,3
2004,Concealed carry permitting,3
2005,Concealed carry permitting,3
2006,Concealed carry permitting,3
2007,Concealed carry permitting,3
2008,Concealed carry permitting,3
2009,Concealed carry permitting,3
2010,Concealed carry permitting,3
2011,Concealed carry permitting,3
2012,Concealed carry permitting,3
2013,Concealed carry permitting,3
2014,Concealed carry permitting,3
2015,Concealed carry permitting,3
2016,Concealed carry permitting,3
2017,Concealed carry permitting,3
2018,Concealed carry permitting,3
1991,Dealer regulations,1
1992,Dealer regulations,1
1993,Dealer regulations,1
1994,Dealer regulations,1
1995,Dealer regulations,1
1996,Dealer regulations,1
1997,Dealer regulations,1
1998,Dealer regulations,1
1999,Dealer regulations,1
2000,Dealer regulations,1
2001,Dealer regulations,1
2002,Dealer regulations,1
2003,Dealer regulations,1
2004,Dealer regulations,1
2005,Dealer regulations,1
2006,Dealer regulations,1
2007,Dealer regulations,1
2008,Dealer regulations,1
2009,Dealer regulations,1
2010,Dealer regulations,1
2011,Dealer regulations,1
2012,Dealer regulations,1
2013,Dealer regulations,1
2014,Dealer regulations,1
2015,Dealer regulations,1
2016,Dealer regulations,1
2017,Dealer regulations,1
2018,Dealer regulations,1
1991,Domestic violence,0
1992,Domestic violence,0
1993,Domestic violence,0
1994,Domestic violence,0
1995,Domestic violence,0
1996,Domestic violence,0
1997,Domestic violence,0
1998,Domestic violence,1
1999,Domestic violence,1
2000,Domestic violence,1
2001,Domestic violence,1
2002,Domestic violence,1
2003,Domestic violence,1
2004,Domestic violence,1
2005,Domestic violence,1
2006,Domestic violence,1
2007,Domestic violence,1
2008,Domestic violence,1
2009,Domestic violence,1
2010,Domestic violence,1
2011,Domestic violence,1
2012,Domestic violence,1
2013,Domestic violence,1
2014,Domestic violence,1
2015,Domestic violence,1
2016,Domestic violence,1
2017,Domestic violence,1
2018,Domestic violence,1
1991,Gun trafficking,2
1992,Gun trafficking,2
1993,Gun trafficking,2
1994,Gun trafficking,2
1995,Gun trafficking,2
1996,Gun trafficking,2
1997,Gun trafficking,2
1998,Gun trafficking,2
1999,Gun trafficking,2
2000,Gun trafficking,2
2001,Gun trafficking,2
2002,Gun trafficking,2
2003,Gun trafficking,2
2004,Gun trafficking,2
2005,Gun trafficking,2
2006,Gun trafficking,2
2007,Gun trafficking,2
2008,Gun trafficking,2
2009,Gun trafficking,2
2010,Gun trafficking,2
2011,Gun trafficking,2
2012,Gun trafficking,2
2013,Gun trafficking,2
2014,Gun trafficking,2
2015,Gun trafficking,2
2016,Gun trafficking,2
2017,Gun trafficking,2
2018,Gun trafficking,2
1991,Immunity,1
1992,Immunity,1
1993,Immunity,1
1994,Immunity,1
1995,Immunity,1
1996,Immunity,1
1997,Immunity,1
1998,Immunity,1
1999,Immunity,1
2000,Immunity,1
2001,Immunity,0
2002,Immunity,0
2003,Immunity,0
2004,Immunity,0
2005,Immunity,0
2006,Immunity,0
2007,Immunity,0
2008,Immunity,0
2009,Immunity,0
2010,Immunity,0
2011,Immunity,0
2012,Immunity,0
2013,Immunity,0
2014,Immunity,0
2015,Immunity,0
2016,Immunity,0
2017,Immunity,0
2018,Immunity,0
1991,Possession regulations,5
1992,Possession regulations,7
1993,Possession regulations,7
1994,Possession regulations,8
1995,Possession regulations,8
1996,Possession regulations,8
1997,Possession regulations,8
1998,Possession regulations,8
1999,Possession regulations,8
2000,Possession regulations,8
2001,Possession regulations,8
2002,Possession regulations,8
2003,Possession regulations,8
2004,Possession regulations,8
2005,Possession regulations,8
2006,Possession regulations,8
2007,Possession regulations,8
2008,Possession regulations,8
2009,Possession regulations,8
2010,Possession regulations,8
2011,Possession regulations,8
2012,Possession regulations,8
2013,Possession regulations,8
2014,Possession regulations,8
2015,Possession regulations,8
2016,Possession regulations,8
2017,Possession regulations,8
2018,Possession regulations,8
1991,Preemption,0
1992,Preemption,0
1993,Preemption,0
1994,Preemption,0
1995,Preemption,0
1996,Preemption,0
1997,Preemption,0
1998,Preemption,0
1999,Preemption,0
2000,Preemption,0
2001,Preemption,0
2002,Preemption,0
2003,Preemption,0
2004,Preemption,0
2005,Preemption,0
2006,Preemption,0
2007,Preemption,0
2008,Preemption,0
2009,Preemption,0
2010,Preemption,0
2011,Preemption,0
2012,Preemption,0
2013,Preemption,0
2014,Preemption,0
2015,Preemption,0
2016,Preemption,0
2017,Preemption,0
2018,Preemption,0
1991,Prohibitions for high-risk gun possession,1
1992,Prohibitions for high-risk gun possession,1
1993,Prohibitions for high-risk gun possession,1
1994,Prohibitions for high-risk gun possession,1
1995,Prohibitions for high-risk gun possession,1
1996,Prohibitions for high-risk gun possession,1
1997,Prohibitions for high-risk gun possession,1
1998,Prohibitions for high-risk gun possession,1
1999,Prohibitions for high-risk gun possession,1
2000,Prohibitions for high-risk gun possession,1
2001,Prohibitions for high-risk gun possession,1
2002,Prohibitions for high-risk gun possession,1
2003,Prohibitions for high-risk gun possession,1
2004,Prohibitions for high-risk gun possession,1
2005,Prohibitions for high-risk gun possession,1
2006,Prohibitions for high-risk gun possession,1
2007,Prohibitions for high-risk gun possession,1
2008,Prohibitions for high-risk gun possession,1
2009,Prohibitions for high-risk gun possession,1
2010,Prohibitions for high-risk gun possession,1
2011,Prohibitions for high-risk gun possession,1
2012,Prohibitions for high-risk gun possession,1
2013,Prohibitions for high-risk gun possession,1
2014,Prohibitions for high-risk gun possession,1
2015,Prohibitions for high-risk gun possession,1
2016,Prohibitions for high-risk gun possession,1
2017,Prohibitions for high-risk gun possession,1
2018,Prohibitions for high-risk gun possession,1
1991,Stand your ground,1
1992,Stand your ground,1
1993,Stand your ground,1
1994,Stand your ground,1
1995,Stand your ground,1
1996,Stand your ground,1
1997,Stand your ground,1
1998,Stand your ground,1
1999,Stand your ground,1
2000,Stand your ground,1
2001,Stand your ground,1
2002,Stand your ground,1
2003,Stand your ground,1
2004,Stand your ground,1
2005,Stand your ground,0
2006,Stand your ground,0
2007,Stand your ground,0
2008,Stand your ground,0
2009,Stand your ground,0
2010,Stand your ground,0
2011,Stand your ground,0
2012,Stand your ground,0
2013,Stand your ground,0
2014,Stand your ground,0
2015,Stand your ground,0
2016,Stand your ground,0
2017,Stand your ground,0
2018,Stand your ground,0
