Category,year,gunvalues
Ammunition regulations,1991,0
Ammunition regulations,1992,0
Ammunition regulations,1993,0
Ammunition regulations,1994,0
Ammunition regulations,1995,0
Ammunition regulations,1996,0
Ammunition regulations,1997,0
Ammunition regulations,1998,0
Ammunition regulations,1999,0
Ammunition regulations,2000,0
Ammunition regulations,2001,0
Ammunition regulations,2002,0
Ammunition regulations,2003,0
Ammunition regulations,2004,0
Ammunition regulations,2005,0
Ammunition regulations,2006,0
Ammunition regulations,2007,0
Ammunition regulations,2008,0
Ammunition regulations,2009,0
Ammunition regulations,2010,0
Ammunition regulations,2011,0
Ammunition regulations,2012,0
Ammunition regulations,2013,0
Ammunition regulations,2014,0
Ammunition regulations,2015,0
Ammunition regulations,2016,0
Ammunition regulations,2017,0
Ammunition regulations,2018,0
Assault weapons and large-capacity magazines,1991,0
Assault weapons and large-capacity magazines,1992,0
Assault weapons and large-capacity magazines,1993,0
Assault weapons and large-capacity magazines,1994,0
Assault weapons and large-capacity magazines,1995,0
Assault weapons and large-capacity magazines,1996,0
Assault weapons and large-capacity magazines,1997,0
Assault weapons and large-capacity magazines,1998,0
Assault weapons and large-capacity magazines,1999,0
Assault weapons and large-capacity magazines,2000,0
Assault weapons and large-capacity magazines,2001,0
Assault weapons and large-capacity magazines,2002,0
Assault weapons and large-capacity magazines,2003,0
Assault weapons and large-capacity magazines,2004,0
Assault weapons and large-capacity magazines,2005,0
Assault weapons and large-capacity magazines,2006,0
Assault weapons and large-capacity magazines,2007,0
Assault weapons and large-capacity magazines,2008,0
Assault weapons and large-capacity magazines,2009,0
Assault weapons and large-capacity magazines,2010,0
Assault weapons and large-capacity magazines,2011,0
Assault weapons and large-capacity magazines,2012,0
Assault weapons and large-capacity magazines,2013,1
Assault weapons and large-capacity magazines,2014,1
Assault weapons and large-capacity magazines,2015,1
Assault weapons and large-capacity magazines,2016,1
Assault weapons and large-capacity magazines,2017,1
Assault weapons and large-capacity magazines,2018,1
Background checks,1991,0
Background checks,1992,0
Background checks,1993,0
Background checks,1994,0
Background checks,1995,0
Background checks,1996,0
Background checks,1997,0
Background checks,1998,0
Background checks,1999,0
Background checks,2000,0
Background checks,2001,4
Background checks,2002,4
Background checks,2003,4
Background checks,2004,4
Background checks,2005,4
Background checks,2006,4
Background checks,2007,4
Background checks,2008,4
Background checks,2009,4
Background checks,2010,4
Background checks,2011,4
Background checks,2012,4
Background checks,2013,9
Background checks,2014,9
Background checks,2015,9
Background checks,2016,9
Background checks,2017,9
Background checks,2018,9
Buyer regulations,1991,0
Buyer regulations,1992,0
Buyer regulations,1993,0
Buyer regulations,1994,0
Buyer regulations,1995,0
Buyer regulations,1996,0
Buyer regulations,1997,0
Buyer regulations,1998,0
Buyer regulations,1999,0
Buyer regulations,2000,0
Buyer regulations,2001,0
Buyer regulations,2002,0
Buyer regulations,2003,0
Buyer regulations,2004,0
Buyer regulations,2005,0
Buyer regulations,2006,0
Buyer regulations,2007,0
Buyer regulations,2008,0
Buyer regulations,2009,0
Buyer regulations,2010,0
Buyer regulations,2011,0
Buyer regulations,2012,0
Buyer regulations,2013,0
Buyer regulations,2014,0
Buyer regulations,2015,0
Buyer regulations,2016,0
Buyer regulations,2017,0
Buyer regulations,2018,0
Child access prevention,1991,0
Child access prevention,1992,0
Child access prevention,1993,0
Child access prevention,1994,0
Child access prevention,1995,0
Child access prevention,1996,0
Child access prevention,1997,0
Child access prevention,1998,0
Child access prevention,1999,0
Child access prevention,2000,0
Child access prevention,2001,0
Child access prevention,2002,0
Child access prevention,2003,0
Child access prevention,2004,0
Child access prevention,2005,0
Child access prevention,2006,0
Child access prevention,2007,0
Child access prevention,2008,0
Child access prevention,2009,0
Child access prevention,2010,0
Child access prevention,2011,0
Child access prevention,2012,0
Child access prevention,2013,0
Child access prevention,2014,0
Child access prevention,2015,0
Child access prevention,2016,0
Child access prevention,2017,0
Child access prevention,2018,0
Concealed carry permitting,1991,2
Concealed carry permitting,1992,2
Concealed carry permitting,1993,2
Concealed carry permitting,1994,2
Concealed carry permitting,1995,2
Concealed carry permitting,1996,2
Concealed carry permitting,1997,2
Concealed carry permitting,1998,2
Concealed carry permitting,1999,2
Concealed carry permitting,2000,2
Concealed carry permitting,2001,2
Concealed carry permitting,2002,2
Concealed carry permitting,2003,5
Concealed carry permitting,2004,5
Concealed carry permitting,2005,5
Concealed carry permitting,2006,5
Concealed carry permitting,2007,5
Concealed carry permitting,2008,5
Concealed carry permitting,2009,5
Concealed carry permitting,2010,5
Concealed carry permitting,2011,5
Concealed carry permitting,2012,5
Concealed carry permitting,2013,5
Concealed carry permitting,2014,5
Concealed carry permitting,2015,5
Concealed carry permitting,2016,5
Concealed carry permitting,2017,5
Concealed carry permitting,2018,5
Dealer regulations,1991,1
Dealer regulations,1992,1
Dealer regulations,1993,1
Dealer regulations,1994,1
Dealer regulations,1995,1
Dealer regulations,1996,1
Dealer regulations,1997,1
Dealer regulations,1998,1
Dealer regulations,1999,1
Dealer regulations,2000,1
Dealer regulations,2001,1
Dealer regulations,2002,1
Dealer regulations,2003,1
Dealer regulations,2004,1
Dealer regulations,2005,1
Dealer regulations,2006,1
Dealer regulations,2007,1
Dealer regulations,2008,1
Dealer regulations,2009,1
Dealer regulations,2010,1
Dealer regulations,2011,1
Dealer regulations,2012,1
Dealer regulations,2013,2
Dealer regulations,2014,2
Dealer regulations,2015,2
Dealer regulations,2016,2
Dealer regulations,2017,2
Dealer regulations,2018,2
Domestic violence,1991,0
Domestic violence,1992,0
Domestic violence,1993,0
Domestic violence,1994,0
Domestic violence,1995,1
Domestic violence,1996,1
Domestic violence,1997,1
Domestic violence,1998,1
Domestic violence,1999,1
Domestic violence,2000,1
Domestic violence,2001,1
Domestic violence,2002,1
Domestic violence,2003,1
Domestic violence,2004,1
Domestic violence,2005,1
Domestic violence,2006,1
Domestic violence,2007,1
Domestic violence,2008,1
Domestic violence,2009,1
Domestic violence,2010,1
Domestic violence,2011,1
Domestic violence,2012,1
Domestic violence,2013,7
Domestic violence,2014,7
Domestic violence,2015,7
Domestic violence,2016,7
Domestic violence,2017,7
Domestic violence,2018,7
Gun trafficking,1991,0
Gun trafficking,1992,0
Gun trafficking,1993,0
Gun trafficking,1994,0
Gun trafficking,1995,0
Gun trafficking,1996,0
Gun trafficking,1997,0
Gun trafficking,1998,0
Gun trafficking,1999,0
Gun trafficking,2000,2
Gun trafficking,2001,2
Gun trafficking,2002,2
Gun trafficking,2003,2
Gun trafficking,2004,2
Gun trafficking,2005,2
Gun trafficking,2006,2
Gun trafficking,2007,2
Gun trafficking,2008,2
Gun trafficking,2009,2
Gun trafficking,2010,2
Gun trafficking,2011,2
Gun trafficking,2012,2
Gun trafficking,2013,2
Gun trafficking,2014,2
Gun trafficking,2015,2
Gun trafficking,2016,2
Gun trafficking,2017,2
Gun trafficking,2018,2
Immunity,1991,1
Immunity,1992,1
Immunity,1993,1
Immunity,1994,1
Immunity,1995,1
Immunity,1996,1
Immunity,1997,1
Immunity,1998,1
Immunity,1999,1
Immunity,2000,0
Immunity,2001,0
Immunity,2002,0
Immunity,2003,0
Immunity,2004,0
Immunity,2005,0
Immunity,2006,0
Immunity,2007,0
Immunity,2008,0
Immunity,2009,0
Immunity,2010,0
Immunity,2011,0
Immunity,2012,0
Immunity,2013,0
Immunity,2014,0
Immunity,2015,0
Immunity,2016,0
Immunity,2017,0
Immunity,2018,0
Possession regulations,1991,1
Possession regulations,1992,1
Possession regulations,1993,1
Possession regulations,1994,1
Possession regulations,1995,1
Possession regulations,1996,1
Possession regulations,1997,1
Possession regulations,1998,1
Possession regulations,1999,1
Possession regulations,2000,1
Possession regulations,2001,1
Possession regulations,2002,1
Possession regulations,2003,2
Possession regulations,2004,2
Possession regulations,2005,2
Possession regulations,2006,2
Possession regulations,2007,2
Possession regulations,2008,2
Possession regulations,2009,2
Possession regulations,2010,2
Possession regulations,2011,2
Possession regulations,2012,2
Possession regulations,2013,2
Possession regulations,2014,2
Possession regulations,2015,2
Possession regulations,2016,2
Possession regulations,2017,2
Possession regulations,2018,2
Preemption,1991,3
Preemption,1992,3
Preemption,1993,3
Preemption,1994,3
Preemption,1995,3
Preemption,1996,3
Preemption,1997,3
Preemption,1998,3
Preemption,1999,3
Preemption,2000,3
Preemption,2001,3
Preemption,2002,3
Preemption,2003,0
Preemption,2004,0
Preemption,2005,0
Preemption,2006,0
Preemption,2007,0
Preemption,2008,0
Preemption,2009,0
Preemption,2010,0
Preemption,2011,0
Preemption,2012,0
Preemption,2013,0
Preemption,2014,0
Preemption,2015,0
Preemption,2016,0
Preemption,2017,0
Preemption,2018,0
Prohibitions for high-risk gun possession,1991,0
Prohibitions for high-risk gun possession,1992,0
Prohibitions for high-risk gun possession,1993,0
Prohibitions for high-risk gun possession,1994,1
Prohibitions for high-risk gun possession,1995,1
Prohibitions for high-risk gun possession,1996,1
Prohibitions for high-risk gun possession,1997,1
Prohibitions for high-risk gun possession,1998,1
Prohibitions for high-risk gun possession,1999,1
Prohibitions for high-risk gun possession,2000,1
Prohibitions for high-risk gun possession,2001,1
Prohibitions for high-risk gun possession,2002,1
Prohibitions for high-risk gun possession,2003,1
Prohibitions for high-risk gun possession,2004,1
Prohibitions for high-risk gun possession,2005,1
Prohibitions for high-risk gun possession,2006,1
Prohibitions for high-risk gun possession,2007,1
Prohibitions for high-risk gun possession,2008,1
Prohibitions for high-risk gun possession,2009,1
Prohibitions for high-risk gun possession,2010,1
Prohibitions for high-risk gun possession,2011,1
Prohibitions for high-risk gun possession,2012,1
Prohibitions for high-risk gun possession,2013,1
Prohibitions for high-risk gun possession,2014,1
Prohibitions for high-risk gun possession,2015,1
Prohibitions for high-risk gun possession,2016,1
Prohibitions for high-risk gun possession,2017,1
Prohibitions for high-risk gun possession,2018,1
Stand your ground,1991,1
Stand your ground,1992,1
Stand your ground,1993,1
Stand your ground,1994,1
Stand your ground,1995,1
Stand your ground,1996,1
Stand your ground,1997,1
Stand your ground,1998,1
Stand your ground,1999,1
Stand your ground,2000,1
Stand your ground,2001,1
Stand your ground,2002,1
Stand your ground,2003,1
Stand your ground,2004,1
Stand your ground,2005,1
Stand your ground,2006,1
Stand your ground,2007,1
Stand your ground,2008,1
Stand your ground,2009,1
Stand your ground,2010,1
Stand your ground,2011,1
Stand your ground,2012,1
Stand your ground,2013,1
Stand your ground,2014,1
Stand your ground,2015,1
Stand your ground,2016,1
Stand your ground,2017,1
Stand your ground,2018,1
